Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Address_Line_5,Postcode,STREET_NAME,Street_In_Postcode
TAP SUPPLY - ST NICHOLAS CEMETERY,NUNS MOOR ROAD,NEWCASTLE UPON TYNE,,,NE4 9AU,NUNS MOOR ROAD,True
Unit 2,Top Angel,Buckingham Industrial Estate,BUCKINGHAM,MK18 1TH,MK18 1TH,TOP ANGEL,True
OFFICE R/O 71,HIGH STREET,CANVEY ISLAND,,,SS8 7RD,HIGH STREET,True
FINNINGLEY QUARRY,CROFT ROAD,FINNINGLEY,DONCASTER,,DN9 3DW,CROFT ROAD,True
LAND USED FOR STORAGE ADJ 2-3,SUNRISE LANE,HOUGHTON LE SPRING,,,DH4 5AL,SUNRISE LANE,True
MOORFIELD ROAD,DUXFORD,CAMBRIDGE,CB22 4PS,,CB22 4PS,MOORFIELD ROAD,True
27 High Street,MABLETHORPE,,,,LN12 1AF,HIGH STREET,True
7 MIDDLE STREET,CORRINGHAM,GAINSBOROUGH,DN21 5QR,,DN21 5QR,MIDDLE STREET,True
BEDFORD HOUSE,112 LINTHORPE ROAD,MIDDLESBROUGH,,,TS1 2JR,LINTHORPE ROAD,True
UNIT 3,BLACKSTONE ROAD,STUKELEY MEADOWS IND. ESTATE,HUNTINGDON,PE29 6EF,PE29 6EF,BLACKSTONE ROAD,True
UNIT 13 LAND NORTH OF JOHNSTON SWEEPERS," CASTLE ROAD, SITTINGBOURNE",KENT,,,ME10 3JP,CASTLE ROAD,True
UNIT I WALLAW BUILDINGS,WOODHORN ROAD,ASHINGTON,,,NE63 9UX,WOODHORN ROAD,True
UNIT F4,MERCIA WAY,FOXHILLS INDUSTRIAL ESTATE,SCUNTHORPE,DN15 8RE,DN15 8RE,MERCIA WAY,True
11B MIDDLETON GRANGE,HARTLEPOOL,,,,TS24 7RS,,No street in address
METER- OLD CLUB PREM  & RUSSELS PL.,NORTH TERRACE,WEST ALLOTMENT,NEWCASTLE UPON TYNE,,NE27 0DN,NORTH TERRACE,True
17 EASTGATE,SLEAFORD,NG34 7DW,,,NG34 7DW,EASTGATE,True
6 DOOLITTLE MILL,AMPTHILL,BEDFORD,MK45 2ND,,MK45 2ND,DOOLITTLE MILL,True
UNIT 13 RIVERSIDE BUSINESS SUITES,AMETHYST ROAD,NEWCASTLE UPON TYNE,,,NE4 7YL,AMETHYST ROAD,True
5a Church Street,Coggeshall,COLCHESTER,,,CO6 1TU,CHURCH STREET,True
RUSTON HOUSE,WATERSIDE SOUTH,LINCOLN,LN5 7FD,,LN5 7FD,PELHAM STREET,False
HUNTERS ROAD,,SPITAL TONGUES,NEWCASTLE UPON TYNE,,NE2 4NE,,No data available
4/7 UNIT BT B,LYNMOUTH ROAD,NORTH SHIELDS,,,NE29 7TY,WEYMOUTH ROAD,False
Midwest Business Park,Washway Road,Holbeach,SPALDING,,PE12 8JB,HURN ROAD,False
.,THE OLD CHAPEL,HEXTON,.,HITCHIN,SG5 3HX,MILL LANE,False
DOCKING FARM - MEADOW,OULTON,NORWICH,,,NR11 6QZ,HEYDON ROAD,False
UNIT 19,ALLIANCE INDUSTRIAL ESTATE,DARLINGTON,,,DL1 2PA,DODSWORTH STREET,False
20A 1ST & 2ND FLOORS,FREDERICK STREET,SOUTH SHIELDS,,,NE33 5AE,SOUTH ELDON STREET,False
ASHURST,SOUTHGATE PARK,ORTON SOUTHGATE,PETERBOROUGH,PE2 6YS,PE2 6YS,SOUTHGATE WAY,False
8 THE ARCADE,PETERBOROUGH,PE1 1PY,,,PE1 1PY,WESTGATE,False
CAR PARK,CAMPBELL PARK ROAD,HEBBURN,,,NE31 2SN,,No data available
Fornham All Saints,BURY ST. EDMUNDS,,,,IP28 6JH,THE STREET,False
FRESH WHARF DEVELOPMENT,HIGHBRIDGE ROAD,BARKING,,,IG11 7BP,FRESH WHARF ROAD,False
Shop H,Princes Street,HUNTINGDON,,,PE29 3LN,CHEQUERS COURT,False
ORFORD YARD,NORWICH,NR1 3TB,,,NR1 3TB,RED LION STREET,False
17 NEWLANDS,WITHAM,,,,CM8 2AP,NEWLANDS PRECINCT,False
BROOMFIELD GRANGE NURSING HOME,PUDDINGS WOOD LANE,BROOMFIELD,CHELMSFORD,,CM1 7FG,PUDDINGS WOOD DRIVE,False
Land Adjacent to Holly Cottage,,,,,IP8 3JD,OLD LONDON ROAD,False
LEMINGTON TRAVELLERS CARAVAN SITE,NEWBURN HAUGH,NEWCASTLE UPON TYNE,,,NE15 8SG,RIVERSDALE COURT,False
SITE OFFICE,STATION,,LONDON,,SE13 5FT,,No data available
Land Off Plot 8,Drain Bank North,Cowbit,SPALDING,,PE12 6FR,DRAIN BANK SOUTH,False
Units 8a/8b,Unit 2,Riverside Retail Park,NORWICH,,NR1 1WR,ALBION WAY,False
BINSTORE,BRUFF ROAD,IPSWICH,IP2 8EF,,IP2 8EF,CROFT STREET,False
THE PHARMACY,RAVENSWORTH ROAD,GATESHEAD,,,NE11 9AZ,,No data available
"OFFICE 13 GND FLR, GROUNDSTAR HSE",FREIGHT VILLAGE,WOOLSINGTON,NEWCASTLE UPON TYNE,,NE13 8BH,AIRPORT FREIGHTWAY,False
